Spel;Therapiedoelen;Speldoel;Hoe te spelen;Opties;Speelveld;Duur
Step-In-Store;"ADL-training
Executieve functies
Dubbeltaken
Visuele scantraining";"Doe boodschappen in
de virtuele supermarkt";"Rolstoel
Lopend
Met één hand";"1. Boodschappen verzamelen aan de hand van een lijstje
2. Afrekenen bij de zelfscan
3. Zelf boodschappen kiezen, scannen bij de zelfscan";"Speler in het midden
3 x 3 m
7 x 7 m (laatste level)";Variabel, afhankelijk van de snelheid van de speler
BalanceBubbles;"Stabalans
Zitbalans
Armfunctie
Schouderfunctie
Handfunctie";"Prik zoveel mogelijk
bellen stuk";"Zittend
Staand
Met twee handen";;Op de plaats;1-2 minuten
BalloonBurst;"Loopvaardigheid
Rolstoelvaardigheid
Balans
Uithoudingsvermogen
Schouderfunctie";"Prik zoveel mogelijk
ballonen stuk";"Rolstoel
Lopend
Met één hand";;"Voor de speler
4 x 4 m
2.5 x 6 m
4 x 8 m";2 minuten
PuzzlePath;"Loopvaardigheid
Rolstoelvaardigheid
Traplopen";"Verzamel de
puzzelstukken om de
puzzel te voltooien";"Lopend
Rolstoel
Zonder handen
In de loopbrug";"1. Schilderijen
2. Dieren
3. Reizen";"Voor de speler
5 m";"Variabel, vrije keuze aantal
puzzels en vrij stopmoment"
BlockBall;"Zijwaarts bewegen
Loopvaardigheid
Reactievermogen";"Kaats de bal zovaak
mogelijk terug met je
blokje";"Rolstoel
Zonder handen
Rennend";"1. Uithouding (eindigt wanneer je mist)
2. Competitie normaal (eindigt wanneer iemand 3 punten
heeft)
3. Competitie moeilijk (eindigt wanneer iemand 3 punten
heeft)";"Voor de speler
2 m links en rechts";Variabel, het doel is meestal om 3 punten te behalen
ButterflyBoost;"Loopvaardigheid
Rolstoelvaardigheid
Armfunctie
Handfunctie
Schouderfunctie
Cognitieve traning";"Breng de vlinders naar
de juiste bloemen (in
dezelfde kleur)";"Lopend
Rolstoel
Met één hand";;"Speler in het midden
3 x 3 m
5 x 5 m
7 x 7 m";Variabel, alle 9 vlinders moeten op een bloem zitten
PipePatrol;"Cognitieve traning
Loopvaardigheid
Rolstoelvaardigheid
Armfunctie
Schouderfunctie
Handfunctie
Bukken, reiken, draaien
Reactievermogen";"Stop de lekkages door
tape op de gaten in de
leidingen te plakken";"Rennend
Lopend
Rolstoel
Met één hand";"1. Kort: < 1.50m kinderen of rolstoel
2. Normaal: > 1.50m lopende volwassenen
3. Snel";"Speler in het midden
Cirkel met een straal van 2.5 m";2 minuten
MirACL;"Stabalans
Zijwaarts bewegen
Loopvaardigheid
Bewegingsangst";"Versla de vijanden
voordat ze jou verslaan";"Lopend
Rennend
Zonder handen";"Je kunt verschillende bewegingen selecteren en
verschillende levels
1. Training (de monsters schieten niet, je hebt geen
levens die verloren gaan)
2. Showndown (je hebt 3 levens)";"Speler op de plaats
Soms 2.5 m links en rechts";"Variabel, afhankelijk van gekozen niveau. 40 seconden tot
2.10 minuten"
TableBall;"Armfunctie
Handfunctie
Schouderfunctie
Cognitieve traning";"Breng zoveel mogelijk
voorwerpen naar het
doel binnen de tijd";"Zittend
Met één hand";;Aan lege tafel;5 minuten
PlanetPuzzle;"Loopvaardigheid
Rolstoelvaardigheid
Cognitieve traning
Handfunctie
Armfunctie
Schouderfunctie";"Maak zoveel mogelijk juiste 
combinaties";"Met één hand
Zittend
Lopend
Rolstoel";"3 moeilijkheidsgraden, 3 trainingen:
1. Spellen
2. Symbolen
3. Rekenen";"Speler in het midden
Cirkel met een straal van 3.5 m";2.5 minuten
Spinal Cord Injury Education;Educatie;;"Zittend
Rolstoel";"1. Anatomisch: zenuwstelsel, geslachtsorgaan
2. Thema's: algemeen, seksualiteit, pijn
3. Afspraak: arts controle, verpleegkundig specialist,
intimiteitsverpleegkundige
4. Fase: begin klinisch, einde klinisch, poli-klinisch
5. Geslacht: man of vrouw
6. Taal: Nederlands of Engels
7. Ondertiteling: wel of geen ";Op de plaats;"Variabel, 2-5 minuten per
fragment. Meerdere fragmenten kunnen achter elkaar afgespeeld worden"
